"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 14:14:51 IST 2022","Thu Dec 01 14:15:02 IST 2022","11226","","Validating grade 2 Single order","","Validating grade 2 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Mon Nov 28 14:18:26 IST 2022","Mon Nov 28 14:18:27 IST 2022","1058","","Validating UKG Single order","","Validating UKG Single order","Verify PID is generated","Verify PID is generated",""
"passed","Mon Nov 28 14:18:33 IST 2022","Mon Nov 28 14:18:40 IST 2022","6193","","Validating UKG Single order","","Validating UKG Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Fri Dec 09 17:52:08 IST 2022","Fri Dec 09 17:52:35 IST 2022","26824","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","log in into oms","log in into oms",""
"passed","Thu Dec 01 14:13:11 IST 2022","Thu Dec 01 14:13:37 IST 2022","26057","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Wed Dec 14 18:44:24 IST 2022","Wed Dec 14 18:44:32 IST 2022","7979","","Validating grade 4 Single order","","Validating grade 4 Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Thu Dec 08 12:27:36 IST 2022","Thu Dec 08 12:27:43 IST 2022","7216","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Fri Nov 04 18:22:32 IST 2022","Fri Nov 04 18:24:00 IST 2022","88802","","btlp workflow","","btlp workflow","log in into WMS","log in into WMS",""
"passed","Wed Dec 14 18:47:28 IST 2022","Wed Dec 14 18:47:35 IST 2022","7161","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Fri Dec 09 17:52:55 IST 2022","Fri Dec 09 17:53:02 IST 2022","7307","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"broken","Fri Dec 02 17:06:58 IST 2022","Fri Dec 02 17:10:00 IST 2022","181635","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Thu Dec 01 14:13:37 IST 2022","Thu Dec 01 14:13:42 IST 2022","5071","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify the sum of sku values should match the sub total amount","Verify the sum of sku values should match the sub total amount",""
"passed","Mon Nov 28 14:18:59 IST 2022","Mon Nov 28 14:19:09 IST 2022","9931","","Validating UKG Single order","","Validating UKG Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"broken","Fri Dec 02 17:11:46 IST 2022","Fri Dec 02 17:12:34 IST 2022","48094","","btlp workflow","","btlp workflow","log in into WMS","log in into WMS",""
"passed","Fri Dec 09 17:52:54 IST 2022","Fri Dec 09 17:52:55 IST 2022","545","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify PID is generated","Verify PID is generated",""
"broken","Thu Dec 01 16:39:23 IST 2022","Thu Dec 01 16:39:23 IST 2022","5","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Thu Dec 01 13:55:03 IST 2022","Thu Dec 01 13:55:25 IST 2022","21933","","Validating UKG Single order","","Validating UKG Single order","Verify raise priority option","Verify raise priority option",""
"passed","Mon Nov 28 14:19:09 IST 2022","Mon Nov 28 14:19:14 IST 2022","4410","","Validating UKG Single order","","Validating UKG Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Fri Dec 09 17:52:03 IST 2022","Fri Dec 09 17:52:08 IST 2022","5461","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 08 12:26:59 IST 2022","Thu Dec 08 12:27:04 IST 2022","5048","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Fri Dec 02 17:10:00 IST 2022","Fri Dec 02 17:11:44 IST 2022","104272","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Thu Dec 01 14:18:08 IST 2022","Thu Dec 01 14:18:25 IST 2022","16546","","Validating grade 3 Single order","","Validating grade 3 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 01 14:12:45 IST 2022","Thu Dec 01 14:13:07 IST 2022","22518","","Validating grade 1 Single order","","Validating grade 1 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Fri Dec 09 17:53:39 IST 2022","Fri Dec 09 17:53:44 IST 2022","4623","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify sales and customer details","Verify sales and customer details",""
"broken","Thu Dec 01 14:18:28 IST 2022","Thu Dec 01 14:18:35 IST 2022","7116","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Thu Dec 01 14:17:35 IST 2022","Thu Dec 01 14:17:36 IST 2022","1071","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify PID is generated","Verify PID is generated",""
"passed","Thu Dec 08 12:28:12 IST 2022","Thu Dec 08 12:28:16 IST 2022","4375","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify sales and customer details","Verify sales and customer details",""
